,S Type,7'b opcode,6'b imm,6'b rs1,6'b rs2,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,S, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,sw,Store Word,Memory Write,011,0000,"sw rs2, imm(rs1)",MEM[R[rs1] + imm] =R ' 32b [rs2],
,sh,Store Half-Word,,011,0001,"sh rs2, imm(rs1)",MEM[R[rs1] + imm] = R ' 16b [rs2],
,sb,Store Byte,,011,0010,"sb rs2, imm(rs1)",MEM[R[rs1] + imm] = R ' 8b [rs2],
,,,,011,0011,,,
,,,,011,0100,,,
,,,,011,0101,,,
,,,,011,0110,,,
,,,,011,0111,,,
,,,,011,1000,,,
,,,,011,1001,,,
,,,,011,1010,,,
,,,,011,1011,,,
,,,,011,1100,,,
,,,,011,1101,,,
,,,,011,1110,,,
,,,,011,1111,,,
,,,,,,,,
,B Type,7'b opcode,6'b Pred Dest,6'b rs1,6'b rs2,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,B, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,beq,Branch if Equal,Memory Write,100,0000,"beq rs1, rs2, imm","if (R[rs1] == R[rs2]),  R[PC] = R[PC] + imm",
,bne,Branch if Not Equal,,100,0001,"bne rs1, rs2, imm","if (R[rs1] != R[rs2]), R[PC] = R[PC] + imm",
,bge,Branch if Greater or Equal Than,,100,0010,"bge rs1, rs2, imm","if (R[rs1] >= R[rs2]), R[PC] = R[PC] + imm",
,bgeu,Branch if Greater or Equal Than Unsigned,,100,0011,"bgeu rs1, rs2, imm","if (unsig{R[rs1]} >= unsig{R[rs2]}), R[PC] = R[PC] + imm",
,blt,Branch if Less Than,,100,0100,"blt rs1, rs2, imm","if (R[rs1] < R[rs2]), R[PC] = R[PC] + imm",
,bltu,Branch if Less Than Unsigned,,100,0101,"bltu rs1, rs2, imm","if (unsig{R[rs1]} < unsig{R[rs2]}), R[PC] = R[PC] + imm",
,,,,100,0110,,,
,,,,100,0111,,,
,,,,100,1000,,,
,,,,100,1001,,,
,,,,100,1010,,,
,,,,100,1011,,,
,,,,100,1100,,,
,,,,100,1101,,,
,,,,100,1110,,,
,,,,100,1111,,,
,,,,,,,,
,U Type,7'b opcode,6'b Pred Dest,12'b imm,,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,U, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,auipc,Add Upper Immediate to PC,Build PC,101,0000,"auipc rd, imm",R[rd] = R[PC] + (imm << 12),
,lli,Load Lower Immediate,Building Immediates,101,0001,"lli rd, imm","R[rd] = {R[rd] [31:12]] , imm[11:0]}",Directly Assign Value
,lmi,Load Middle Immediate,,101,0010,"lmi rd, imm","R[rd] = {R[rd] [31:24],  imm[11:0],  R[rd] [11:0]}",Directly Assign Value
,,,,101,0011,,,
,lui,Load Upper Immediate,,101,0100,"lui rd, imm","R[rd] = {imm[7:0],  R[rd] [23:0]}",Directly Assign Value
,,,,101,0101,,,
,,,,101,0110,,,
,,,,101,0111,,,
,,,,,,,,
,C Type,7'b opcode,6'b rd,10'b csr1,2'b X,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,C, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,csrr,Control Status Register Read,Control Status Register,101,1000,"csrr rd, csr1",R[rd] = CSR[csr1],"csr1 = {rs2[3:0], rs1[5:0]}"
,csrw,Control Status Register Write,,101,1001,"csrw rd, csr1",CSR[csr1] = R[rd],"csr1 = {rs2[3:0], rd[5:0]}"
,,,,101,1010,,,
,,,,101,1011,,,
,,,,101,1100,,,
,,,,101,1101,,,
,,,,101,1110,,,
,,,,101,1111,,,
,,,,,,,,
,J Type,7'b opcode,6'b Pred Dest,12'b imm,,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,J, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,jal,Jump And Link,Jump,110,0000,"jal rd, imm",R[rd] = R[PC] + 4 ; R[PC] = R[PC] + imm,
,,,,110,0001,,,
,,,,110,0010,,,
,,,,110,0011,,,
,,,,110,0100,,,
,,,,110,0101,,,
,,,,110,0110,,,
,,,,110,0111,,,
,,,,,,,,
,P Type,7'b opcode,6'b X,6'b rs1,6'b rs2,5'b predication," 1'b packet start, 1'b packet end",
,Functionality,,,P, Instruction Type,Description,,Notes
,,,,,,,,
,Mnemonic,Operation,Category,OpCode,,Assembly,Hardware,Notes
,jpnz,Jump Pred Not Zero,Jump Pred,110,1000,"jpnz rs1, rs2","if(PR[rs1] == 0), R[PC] = R[rs2]; else, R[PC] = R[PC] + 4",
,,,,110,1001,,,
,,,,110,1010,,,
,,,,110,1011,,,
,,,,110,1100,,,
,,,,110,1101,,,
,,,,110,1110,,,
,,,,110,1111,,,
